naics17,naics12,ratio
211120,211111,1
211130,211111,0.7790741743367623
211130,211112,0.22092582566323768
212230,212231,0.15518256772673733
212230,212234,0.8448174322732627
333914,333911,0.9288771466314399
333914,333913,0.0711228533685601
335220,335221,0.2797422568339494
335220,335222,0.2261182377008677
335220,335224,0.1482418516395549
335220,335228,0.34589765382562804
452210,452111,0.5
452210,452112,0.5
452311,452112,0.19005618471424118
452311,452910,0.8099438152857588
452319,452990,1
454110,454111,0.7752351097178684
454110,454112,0.011255494649831001
454110,454113,0.21350939563230065
512250,512210,0.11405228758169934
512250,512220,0.8859477124183006
517311,517110,1
517312,517210,1
532281,532220,1
532282,532230,1
532283,532291,1
532284,532292,1
532289,532299,1
541713,541711,0.07679133212676278
541713,541712,0.9232086678732372
541714,541711,1
541715,541712,1
